No	Category	Subcategory	Description	Qty	UOM	Price/Unit (RM)	Total (RM)	Update Date	Supplier	Note
85	Aluminium	Door & Window Accessories	Black Tape 2" Teca	1	ROLL	11.25	11.25	2024-10-13	YIT LOONG BUILDING MATERIALS SDN BHD	
86	Aluminium	Door & Window Accessories	Black Tape 3"	1	ROLL	16.88	16.88	2024-10-13	YIT LOONG BUILDING MATERIALS SDN BHD	
87	Aluminium	Door & Window Accessories	Black Tape 3" Teca	1	ROLL	16.88	16.88	2024-10-13	YIT LOONG BUILDING MATERIALS SDN BHD	
88	Aluminium	Door & Window Accessories	Black Tape 4"	1	ROLL	20.8	20.8	2024-10-13	YIT LOONG BUILDING MATERIALS SDN BHD	
89	Aluminium	Door & Window Accessories	Black Tape 4" Teca	1	ROLL	20.8	20.8	2024-10-13	YIT LOONG BUILDING MATERIALS SDN BHD	
90	Aluminium	Door & Window Accessories	Black Tape 6"	1	ROLL	43	43	2024-10-13	YIT LOONG BUILDING MATERIALS SDN BHD	
91	Aluminium	Door & Window Accessories	Black Tape 6/8" (19mm)	1	PKT	4.4	4.4	2022-08-07	YIT LOONG BUILDING MATERIALS SDN BHD	
92	Aluminium	Door & Window Accessories	Black Tape 6/8" Teca	1	ROLL	5.63	5.63	2024-08-28	YIT LOONG BUILDING MATERIALS SDN BHD	
93	Aluminium	Door & Window Accessories	Black Tape Nikee 70y	1	CTN	270	270	2022-04-12	YIT LOONG BUILDING MATERIALS SDN BHD	
94	Aluminium	Door & Window Accessories	Black Tape Teca	1	CTN	270	270	2023-01-18	YIT LOONG BUILDING MATERIALS SDN BHD	
95	Aluminium	Door & Window Accessories	Bracket 911A 30.00mm	1	PCS	1.5	1.5	2021-05-22	YIT LOONG BUILDING MATERIALS SDN BHD	
96	Aluminium	Door & Window Accessories	Bracket 911C	1	PCS	2	2	2022-04-12	YIT LOONG BUILDING MATERIALS SDN BHD	
97	Aluminium	Door & Window Accessories	Bracket 911C	1	PKT	130	130	2023-01-18	YIT LOONG BUILDING MATERIALS SDN BHD	
98	Aluminium	Door & Window Accessories	Bracket 911C 31.00mm	1	PCS	2	2	2024-03-17	YIT LOONG BUILDING MATERIALS SDN BHD	
99	Aluminium	Door & Window Accessories	Bracket 911C 37.50mm	1	PKT	130	130	2024-10-13	YIT LOONG BUILDING MATERIALS SDN BHD	
100	Aluminium	Door & Window Accessories	Bracket 911C Cover	1	PCS	0.8	0.8	2024-03-21	YIT LOONG BUILDING MATERIALS SDN BHD	
101	Aluminium	Door & Window Accessories	Casement Handle CW-608 BK L	1	PCS	1.3	1.3	2021-10-02	YIT LOONG BUILDING MATERIALS SDN BHD	
102	Aluminium	Door & Window Accessories	Casement Handle CW-608 BK R	1	PCS	1.3	1.3	2021-10-02	YIT LOONG BUILDING MATERIALS SDN BHD	
103	Aluminium	Door & Window Accessories	Casement Handle CW-608 NA L	1	PCS	1.6	1.6	2022-12-13	YIT LOONG BUILDING MATERIALS SDN BHD	
104	Aluminium	Door & Window Accessories	Casement Handle CW-608 NA R	1	PCS	1.4	1.4	2024-06-14	YIT LOONG BUILDING MATERIALS SDN BHD	
105	Aluminium	Door & Window Accessories	Casement Handle CW-608 WH L	1	PCS	1.4	1.4	2021-12-16	YIT LOONG BUILDING MATERIALS SDN BHD	
106	Aluminium	Door & Window Accessories	Casement Handle CW-708LH Black	1	PCS	3	3	2024-07-15	YIT LOONG BUILDING MATERIALS SDN BHD	
107	Aluminium	Door & Window Accessories	Casement Handle CW-708RH Black	1	PCS	3	3	2024-07-15	YIT LOONG BUILDING MATERIALS SDN BHD	
